month,state,district,age_0_5,age_5_17,age_18_greater,total_enrolment
2025-04,Assam,Kokrajhar,301,238,25,564
2025-04,Assam,Lakhimpur,400,221,93,714
2025-04,Assam,Marigaon,540,457,96,1093
2025-04,Assam,Nagaon,504,236,36,776
2025-04,Assam,Nalbari,55,49,77,181
2025-04,Assam,North Cachar Hills,130,179,99,408
2025-04,Assam,Sibsagar,220,83,276,579
2025-04,Assam,Sonitpur,138,169,65,372
2025-04,Assam,South Salmara Mankachar,176,102,30,308
2025-04,Assam,Tinsukia,339,391,261,991
2025-04,Assam,Udalguri,447,364,319,1130
2025-04,Assam,West Karbi Anglong,94,344,45,483
2025-04,Bihar,Bhagalpur,678,534,26,1238
2025-04,Bihar,East Champaran,1528,2371,153,4052
2025-04,Bihar,Gaya,437,1371,54,1862
2025-04,Bihar,Jamui,1015,647,30,1692
2025-04,Bihar,Jehanabad,78,292,48,418
2025-04,Bihar,Kaimur (Bhabua),146,199,12,357
2025-04,Bihar,Madhubani,388,485,60,933
2025-04,Bihar,Munger,191,278,22,491
2025-04,Bihar,Muzaffarpur,1159,865,65,2089
2025-04,Bihar,Patna,723,2303,373,3399
2025-04,Bihar,Purnia,517,276,21,814
2025-04,Bihar,Saran,143,174,10,327
2025-04,Bihar,Sitamarhi,2452,1625,487,4564
2025-04,Bihar,Vaishali,270,217,10,497
2025-04,Bihar,West Champaran,2826,3724,159,6709
2025-04,Chandigarh,Chandigarh,86,21,10,117
2025-04,Chhattisgarh,Bijapur,397,135,126,658
2025-04,Chhattisgarh,Durg,336,38,10,384
2025-04,Chhattisgarh,Raipur,299,12,11,322
2025-04,Chhattisgarh,Sukma,267,69,45,381
2025-04,Delhi,Central Delhi,80,41,12,133
2025-04,Delhi,East Delhi,676,221,15,912
2025-04,Delhi,North West Delhi,903,349,54,1306
2025-04,Delhi,Shahdara,208,98,13,319
2025-04,Delhi,South Delhi,404,137,22,563
2025-04,Delhi,South West Delhi,558,209,58,825
2025-04,Delhi,West Delhi,1249,440,183,1872
2025-04,Gujarat,Ahmedabad,77,26,19,122
2025-04,Gujarat,Amreli,174,21,43,238
2025-04,Gujarat,Anand,136,30,75,241
2025-04,Gujarat,Arvalli,144,32,30,206
2025-04,Gujarat,Banaskantha,1685,1358,1001,4044
2025-04,Gujarat,Bharuch,138,50,23,211
2025-04,Gujarat,Bhavnagar,567,36,25,628
2025-04,Gujarat,Botad,291,21,20,332
2025-04,Gujarat,Chhotaudepur,242,121,119,482
2025-04,Gujarat,Dahod,855,782,434,2071
2025-04,Gujarat,Devbhumi Dwarka,186,44,54,284
2025-04,Gujarat,Gandhinagar,495,138,156,789
2025-04,Gujarat,Gir Somnath,1262,265,179,1706
2025-04,Gujarat,Jamnagar,240,43,33,316
2025-04,Gujarat,Junagadh,250,27,12,289
2025-04,Gujarat,Kachchh,587,242,78,907
2025-04,Gujarat,Kheda,425,80,150,655
2025-04,Gujarat,Mahesana,433,55,65,553
2025-04,Gujarat,Mahisagar,110,12,16,138
2025-04,Gujarat,Morbi,818,178,175,1171
2025-04,Gujarat,Navsari,133,10,33,176
2025-04,Gujarat,Panchmahals,574,145,183,902
2025-04,Gujarat,Patan,800,173,225,1198
2025-04,Gujarat,Porbandar,267,38,44,349
2025-04,Gujarat,Rajkot,1398,338,231,1967
2025-04,Gujarat,Sabarkantha,389,197,110,696
2025-04,Gujarat,Surat,2932,976,280,4188
2025-04,Gujarat,Surendra Nagar,436,159,91,686
2025-04,Gujarat,Tapi,68,12,13,93
2025-04,Gujarat,The Dangs,85,13,22,120
2025-04,Gujarat,Vadodara,788,216,180,1184
2025-04,Gujarat,Valsad,618,186,100,904
2025-04,Haryana,Faridabad,1291,290,25,1606
2025-04,Haryana,Gurgaon,494,192,36,722
2025-04,Jammu and Kashmir,Punch,142,59,10,211
2025-04,Jharkhand,Deoghar,371,342,10,723
2025-04,Jharkhand,Dumka,34,32,23,89
2025-04,Jharkhand,East Singhbhum,55,54,11,120
2025-04,Jharkhand,Godda,79,46,11,136
2025-04,Jharkhand,Hazaribagh,169,65,14,248
2025-04,Jharkhand,Lohardaga,187,104,17,308
2025-04,Jharkhand,Pakur,579,372,11,962
2025-04,Jharkhand,Ranchi,552,481,87,1120
2025-04,Karnataka,Bengaluru,5774,1026,1047,7847
2025-04,Karnataka,Kalaburagi,560,31,17,608
2025-04,Karnataka,Mysuru,456,19,10,485
2025-04,Karnataka,Yadgir,536,89,21,646
2025-04,Madhya Pradesh,Alirajpur,134,105,15,254
2025-04,Madhya Pradesh,Ashok Nagar,342,139,50,531
2025-04,Madhya Pradesh,Barwani,497,313,10,820
2025-04,Madhya Pradesh,Betul,193,20,10,223
2025-04,Madhya Pradesh,Bhind,732,228,91,1051
2025-04,Madhya Pradesh,Bhopal,316,47,20,383
2025-04,Madhya Pradesh,Burhanpur,547,155,100,802
2025-04,Madhya Pradesh,Chhatarpur,555,255,40,850
2025-04,Madhya Pradesh,Datia,237,55,10,302
2025-04,Madhya Pradesh,Dewas,427,65,10,502
2025-04,Madhya Pradesh,Dhar,396,116,107,619
2025-04,Madhya Pradesh,Guna,633,120,31,784
2025-04,Madhya Pradesh,Gwalior,855,370,113,1338
2025-04,Madhya Pradesh,Indore,830,205,48,1083
2025-04,Madhya Pradesh,Jabalpur,125,23,11,159
2025-04,Madhya Pradesh,Jhabua,466,372,48,886
2025-04,Madhya Pradesh,Katni,353,40,20,413
2025-04,Madhya Pradesh,Khandwa,271,133,16,420
2025-04,Madhya Pradesh,Khargone,695,188,52,935
2025-04,Madhya Pradesh,Morena,1027,459,82,1568
2025-04,Madhya Pradesh,Panna,107,33,19,159
2025-04,Madhya Pradesh,Raisen,410,83,22,515
2025-04,Madhya Pradesh,Sagar,183,26,12,221
2025-04,Madhya Pradesh,Satna,368,55,14,437
2025-04,Madhya Pradesh,Sheopur,209,163,24,396
2025-04,Madhya Pradesh,Shivpuri,499,259,111,869
2025-04,Madhya Pradesh,Vidisha,670,119,42,831
2025-04,Maharashtra,Ahmadnagar,71,15,10,96
2025-04,Maharashtra,Aurangabad,584,154,53,791
2025-04,Maharashtra,Beed,379,52,19,450
2025-04,Maharashtra,Chandrapur,193,18,10,221
2025-04,Maharashtra,Hingoli,913,95,136,1144
2025-04,Maharashtra,Jalgaon,360,53,10,423
2025-04,Maharashtra,Latur,229,42,23,294
2025-04,Maharashtra,Mumbai Suburban,389,109,44,542
2025-04,Maharashtra,Nagpur,468,50,48,566
2025-04,Maharashtra,Nanded,462,89,56,607
2025-04,Maharashtra,Nandurbar,237,35,10,282
2025-04,Maharashtra,Palghar,174,90,16,280
2025-04,Maharashtra,Parbhani,135,10,16,161
2025-04,Maharashtra,Pune,39,11,19,69
2025-04,Maharashtra,Raigad,242,72,21,335
2025-04,Maharashtra,Satara,192,26,18,236
2025-04,Maharashtra,Solapur,548,67,45,660
2025-04,Maharashtra,Thane,2371,913,150,3434
2025-04,Manipur,Churachandpur,130,476,26,632
2025-04,Meghalaya,East Garo Hills,491,1124,293,1908
2025-04,Meghalaya,East Jaintia Hills,434,765,283,1482
2025-04,Meghalaya,East Khasi Hills,1437,4688,1673,7798
2025-04,Meghalaya,North Garo Hills,205,1048,242,1495
2025-04,Meghalaya,Ri Bhoi,319,1500,514,2333
2025-04,Meghalaya,South Garo Hills,231,820,367,1418
2025-04,Meghalaya,South West Garo Hills,991,610,174,1775
2025-04,Meghalaya,South West Khasi Hills,241,535,212,988
2025-04,Meghalaya,West Garo Hills,1215,1761,727,3703
2025-04,Meghalaya,West Jaintia Hills,712,1478,727,2917
2025-04,Meghalaya,West Khasi Hills,896,2670,1129,4695
2025-04,Mizoram,Champhai,275,76,17,368
2025-04,Nagaland,Chumukedima,16,57,13,86
2025-04,Nagaland,Dimapur,249,454,80,783
2025-04,Nagaland,Kohima,212,385,49,646
2025-04,Nagaland,Longleng,131,226,12,369
2025-04,Nagaland,Noklak,47,65,16,128
2025-04,Nagaland,Peren,201,331,12,544
2025-04,Nagaland,Phek,157,268,22,447
2025-04,Nagaland,Tuensang,173,296,34,503
2025-04,Odisha,Nabarangapur,182,82,12,276
2025-04,Punjab,Amritsar,959,209,54,1222
2025-04,Punjab,Gurdaspur,233,36,49,318
2025-04,Punjab,Hoshiarpur,267,35,34,336
2025-04,Punjab,Kapurthala,302,65,305,672
2025-04,Punjab,Ludhiana,1841,734,184,2759
2025-04,Punjab,SAS Nagar (Mohali),204,65,11,280
2025-04,Punjab,Sangrur,145,11,10,166
2025-04,Rajasthan,Ajmer,1007,196,36,1239
2025-04,Rajasthan,Alwar,784,209,39,1032
2025-04,Rajasthan,Baran,379,60,25,464
2025-04,Rajasthan,Bharatpur,240,37,10,287
2025-04,Rajasthan,Bikaner,552,261,16,829
2025-04,Rajasthan,Bundi,337,93,35,465
2025-04,Rajasthan,Churu,316,141,12,469
2025-04,Rajasthan,Dholpur,947,347,50,1344
2025-04,Rajasthan,Dungarpur,66,83,13,162
2025-04,Rajasthan,Jaipur,2601,671,162,3434
2025-04,Rajasthan,Jalor,1186,672,124,1982
2025-04,Rajasthan,Jhalawar,112,49,12,173
2025-04,Rajasthan,Jodhpur,1624,565,87,2276
2025-04,Rajasthan,Karauli,348,105,12,465
2025-04,Rajasthan,Kota,37,17,14,68
2025-04,Rajasthan,Nagaur,563,278,32,873
2025-04,Rajasthan,Pali,138,38,11,187
2025-04,Rajasthan,Sikar,251,62,22,335
2025-04,Rajasthan,Sirohi,349,210,67,626
2025-04,Rajasthan,Udaipur,70,47,15,132
2025-04,Sikkim,South Sikkim,15,23,11,49
2025-04,Sikkim,West Sikkim,52,65,10,127
2025-04,Tamil Nadu,Kancheepuram,229,75,24,328
2025-04,Tamil Nadu,Madurai,94,10,11,115
2025-04,Tamil Nadu,Thanjavur,35,10,11,56
2025-04,Telangana,Hyderabad,252,32,22,306
2025-04,Telangana,K.v. Rangareddy,159,25,28,212
2025-04,Telangana,Medchal-malkajgiri,76,25,15,116
2025-04,Tripura,Unakoti,19,16,15,50
2025-04,Tripura,West Tripura,146,65,25,236
2025-04,Uttar Pradesh,Agra,832,568,37,1437
2025-04,Uttar Pradesh,Aligarh,1066,643,58,1767
2025-04,Uttar Pradesh,Ambedkar Nagar,159,143,10,312
2025-04,Uttar Pradesh,Amroha,434,135,11,580
2025-04,Uttar Pradesh,Azamgarh,231,332,26,589
2025-04,Uttar Pradesh,Baghpat,311,224,18,553
2025-04,Uttar Pradesh,Bahraich,1748,1784,281,3813
2025-04,Uttar Pradesh,Balrampur,429,642,32,1103
2025-04,Uttar Pradesh,Banda,458,340,43,841
2025-04,Uttar Pradesh,Bara Banki,172,72,10,254
2025-04,Uttar Pradesh,Bareilly,3176,1025,63,4264
2025-04,Uttar Pradesh,Basti,140,139,10,289
2025-04,Uttar Pradesh,Budaun,480,267,13,760
2025-04,Uttar Pradesh,Bulandshahr,612,527,49,1188
2025-04,Uttar Pradesh,Chandauli,195,192,41,428
2025-04,Uttar Pradesh,Etah,724,354,13,1091
2025-04,Uttar Pradesh,Etawah,348,226,16,590
2025-04,Uttar Pradesh,Fatehpur,166,136,10,312
2025-04,Uttar Pradesh,Gautam Buddha Nagar,1192,1186,113,2491
2025-04,Uttar Pradesh,Gonda,392,260,50,702
2025-04,Uttar Pradesh,Gorakhpur,378,727,86,1191
2025-04,Uttar Pradesh,Jalaun,221,102,26,349
2025-04,Uttar Pradesh,Jaunpur,662,800,64,1526
2025-04,Uttar Pradesh,Kanpur Dehat,469,364,75,908
2025-04,Uttar Pradesh,Kanpur Nagar,1405,1363,222,2990
2025-04,Uttar Pradesh,Kaushambi,133,109,25,267
2025-04,Uttar Pradesh,Kheri,523,548,31,1102
2025-04,Uttar Pradesh,Lucknow,1235,1253,125,2613
2025-04,Uttar Pradesh,Maharajganj,873,977,79,1929
2025-04,Uttar Pradesh,Mainpuri,348,313,46,707
2025-04,Uttar Pradesh,Meerut,1370,650,33,2053
2025-04,Uttar Pradesh,Moradabad,1519,510,15,2044
2025-04,Uttar Pradesh,Muzaffarnagar,680,308,27,1015
2025-04,Uttar Pradesh,Pilibhit,598,260,20,878
2025-04,Uttar Pradesh,Rampur,894,333,19,1246
2025-04,Uttar Pradesh,Saharanpur,1499,533,29,2061
2025-04,Uttar Pradesh,Shahjahanpur,1402,852,63,2317
2025-04,Uttar Pradesh,Shamli,374,151,12,537
2025-04,Uttar Pradesh,Shrawasti,207,307,11,525
2025-04,Uttar Pradesh,Siddharthnagar,804,1006,68,1878
2025-04,Uttar Pradesh,Sitapur,1928,1053,87,3068
2025-04,Uttar Pradesh,Sultanpur,262,195,23,480
2025-04,Uttar Pradesh,Unnao,937,547,30,1514
2025-04,Uttar Pradesh,Varanasi,527,733,81,1341
2025-04,Uttarakhand,Dehradun,510,138,26,674
2025-04,Uttarakhand,Nainital,488,66,48,602
2025-04,West Bengal,Alipurduar,38,63,27,128
2025-04,West Bengal,Cooch Behar,297,156,32,485
2025-04,West Bengal,Darjeeling,383,200,75,658
2025-04,West Bengal,Jalpaiguri,194,62,36,292
2025-04,West Bengal,Jhargram,40,10,12,62
2025-04,West Bengal,Kolkata,21,10,23,54
2025-04,West Bengal,Malda,306,80,10,396
2025-04,West Bengal,Nadia,204,33,11,248
2025-04,West Bengal,North 24 Parganas,126,67,39,232
2025-04,West Bengal,Uttar Dinajpur,1264,333,116,1713
2025-05,Assam,Baksa,37,25,20,82
2025-05,Assam,Barpeta,90,83,10,183
2025-05,Assam,Bongaigaon,110,41,15,166
2025-05,Assam,Charaideo,29,11,10,50
2025-05,Assam,Darrang,87,53,308,448
2025-05,Assam,Dhemaji,264,174,153,591
2025-05,Assam,Dibrugarh,140,95,149,384
2025-05,Assam,Goalpara,412,253,116,781
2025-05,Assam,Golaghat,807,826,230,1863
2025-05,Assam,Jorhat,17,24,13,54
2025-05,Assam,Kamrup,813,580,264,1657
2025-05,Assam,Kamrup Metro,67,42,53,162
2025-05,Assam,Karbi Anglong,446,1537,175,2158
2025-05,Assam,Karimganj,286,282,193,761
2025-05,Assam,Kokrajhar,249,237,32,518
2025-05,Assam,Lakhimpur,404,216,127,747
2025-05,Assam,Marigaon,130,219,29,378
2025-05,Assam,Nalbari,134,75,37,246
2025-05,Assam,North Cachar Hills,25,39,13,77
2025-05,Assam,Sibsagar,95,43,87,225
2025-05,Assam,Sonitpur,55,160,38,253
2025-05,Assam,Tinsukia,213,216,171,600
2025-05,Assam,Udalguri,221,162,164,547
2025-05,Assam,West Karbi Anglong,39,216,11,266
2025-05,Bihar,Arwal,43,156,10,209
2025-05,Bihar,Bhagalpur,1500,1363,85,2948
2025-05,Bihar,East Champaran,1445,2871,192,4508
2025-05,Bihar,Gaya,452,1796,69,2317
2025-05,Bihar,Gopalganj,385,495,27,907
2025-05,Bihar,Jamui,245,292,13,550
2025-05,Bihar,Kaimur (Bhabua),273,642,22,937
2025-05,Bihar,Katihar,270,215,10,495
2025-05,Bihar,Madhubani,874,995,102,1971
2025-05,Bihar,Muzaffarpur,2161,2046,159,4366
2025-05,Bihar,Patna,105,347,22,474
2025-05,Bihar,Saharsa,334,295,13,642
2025-05,Bihar,Sitamarhi,2961,2387,348,5696
2025-05,Bihar,Siwan,269,384,12,665
2025-05,Bihar,West Champaran,1934,2875,157,4966
2025-05,Chhattisgarh,Baloda Bazar,492,35,17,544
2025-05,Chhattisgarh,Bijapur,275,180,155,610
2025-05,Chhattisgarh,Sukma,178,55,19,252
2025-05,Delhi,Central Delhi,208,105,20,333
2025-05,Delhi,East Delhi,969,342,67,1378
2025-05,Delhi,North West Delhi,368,251,25,644
2025-05,Delhi,Shahdara,66,47,20,133
2025-05,Delhi,South Delhi,217,88,28,333
2025-05,Delhi,South West Delhi,448,188,48,684
2025-05,Delhi,West Delhi,1411,493,172,2076
2025-05,Gujarat,Ahmedabad,756,347,97,1200
2025-05,Gujarat,Anand,111,22,10,143
2025-05,Gujarat,Banaskantha,1146,724,178,2048
2025-05,Gujarat,Bharuch,303,69,23,395
2025-05,Gujarat,Chhotaudepur,127,61,28,216
2025-05,Gujarat,Dahod,710,717,653,2080
2025-05,Gujarat,Devbhumi Dwarka,167,26,23,216
2025-05,Gujarat,Gandhinagar,251,28,16,295
2025-05,Gujarat,Gir Somnath,181,53,26,260
2025-05,Gujarat,Jamnagar,410,77,67,554
2025-05,Gujarat,Kachchh,59,79,12,150
2025-05,Gujarat,Kheda,89,18,33,140
2025-05,Gujarat,Mahesana,178,26,13,217
2025-05,Gujarat,Morbi,389,88,46,523
2025-05,Gujarat,Navsari,122,21,15,158
2025-05,Gujarat,Panchmahals,311,83,61,455
2025-05,Gujarat,Patan,225,53,25,303
2025-05,Gujarat,Rajkot,1375,312,221,1908
2025-05,Gujarat,Sabarkantha,90,41,11,142
2025-05,Gujarat,Surat,1396,542,48,1986
2025-05,Gujarat,The Dangs,174,49,38,261
2025-05,Gujarat,Vadodara,158,78,10,246
2025-05,Gujarat,Valsad,277,101,20,398
2025-05,Haryana,Faridabad,1358,311,32,1701
2025-05,Haryana,Gurgaon,512,143,13,668
2025-05,Haryana,Mewat,1169,147,11,1327
2025-05,Jammu and Kashmir,Baramula,136,39,12,187
2025-05,Jammu and Kashmir,Jammu,55,16,10,81
2025-05,Karnataka,Bangalore Rural,176,35,29,240
2025-05,Karnataka,Bengaluru,2659,1723,869,5251
2025-05,Kerala,Kollam,34,12,10,56
2025-05,Kerala,Malappuram,135,121,10,266
2025-05,Kerala,Thiruvananthapuram,32,15,11,58
2025-05,Madhya Pradesh,Alirajpur,66,42,25,133
2025-05,Madhya Pradesh,Ashok Nagar,161,40,19,220
2025-05,Madhya Pradesh,Barwani,2114,1005,55,3174
2025-05,Madhya Pradesh,Bhind,670,238,48,956
2025-05,Madhya Pradesh,Burhanpur,724,179,29,932
2025-05,Madhya Pradesh,Chhatarpur,394,313,30,737
2025-05,Madhya Pradesh,Dewas,518,87,17,622
2025-05,Madhya Pradesh,Gwalior,338,108,18,464
2025-05,Madhya Pradesh,Indore,519,111,18,648
2025-05,Madhya Pradesh,Jhabua,308,316,10,634
2025-05,Madhya Pradesh,Khandwa,47,21,10,78
2025-05,Madhya Pradesh,Khargone,304,131,13,448
2025-05,Madhya Pradesh,Morena,709,313,44,1066
2025-05,Madhya Pradesh,Panna,140,71,13,224
2025-05,Madhya Pradesh,Vidisha,209,43,15,267
2025-05,Maharashtra,Beed,366,63,15,444
2025-05,Maharashtra,Dhule,118,46,18,182
2025-05,Maharashtra,Hingoli,246,31,34,311
2025-05,Maharashtra,Jalgaon,506,92,43,641
2025-05,Maharashtra,Mumbai Suburban,882,457,230,1569
2025-05,Maharashtra,Nagpur,243,28,22,293
2025-05,Maharashtra,Nanded,383,80,39,502
2025-05,Maharashtra,Nandurbar,251,134,21,406
2025-05,Maharashtra,Nashik,97,14,45,156
2025-05,Maharashtra,Palghar,162,155,14,331
2025-05,Maharashtra,Parbhani,425,90,32,547
2025-05,Maharashtra,Pune,328,97,61,486
2025-05,Maharashtra,Sangli,160,45,20,225
2025-05,Maharashtra,Satara,150,32,10,192
2025-05,Maharashtra,Solapur,473,97,51,621
2025-05,Maharashtra,Thane,1437,799,96,2332
2025-05,Maharashtra,Washim,198,20,10,228
2025-05,Maharashtra,Yavatmal,281,72,30,383
2025-05,Manipur,Bishnupur,76,79,30,185
2025-05,Manipur,Imphal West,44,37,25,106
2025-05,Meghalaya,East Garo Hills,180,448,267,895
2025-05,Meghalaya,East Jaintia Hills,125,248,256,629
2025-05,Meghalaya,East Khasi Hills,768,2259,1867,4894
2025-05,Meghalaya,North Garo Hills,65,168,91,324
2025-05,Meghalaya,Ri Bhoi,243,733,633,1609
2025-05,Meghalaya,South Garo Hills,105,388,192,685
2025-05,Meghalaya,South West Garo Hills,392,240,167,799
2025-05,Meghalaya,South West Khasi Hills,135,192,200,527
2025-05,Meghalaya,West Garo Hills,683,994,708,2385
2025-05,Meghalaya,West Jaintia Hills,558,909,734,2201
2025-05,Meghalaya,West Khasi Hills,406,1103,923,2432
2025-05,Mizoram,Lawngtlai,280,62,29,371
2025-05,Mizoram,Lunglei,136,31,16,183
2025-05,Mizoram,Saiha,59,61,63,183
2025-05,Nagaland,Dimapur,155,207,22,384
2025-05,Nagaland,Peren,148,119,15,282
2025-05,Punjab,Amritsar,664,284,26,974
2025-05,Punjab,Gurdaspur,114,20,13,147
2025-05,Punjab,Hoshiarpur,197,48,18,263
2025-05,Punjab,Kapurthala,233,67,96,396
2025-05,Punjab,Ludhiana,876,458,49,1383
2025-05,Punjab,Patiala,456,125,23,604
2025-05,Rajasthan,Alwar,610,179,10,799
2025-05,Rajasthan,Bikaner,421,164,20,605
2025-05,Rajasthan,Jaipur,120,70,10,200
2025-05,Rajasthan,Jodhpur,595,190,15,800
2025-05,Rajasthan,Sirohi,246,301,10,557
2025-05,Tamil Nadu,Coimbatore,59,19,11,89
2025-05,Tamil Nadu,Cuddalore,120,11,10,141
2025-05,Tamil Nadu,Pudukkottai,143,34,13,190
2025-05,Telangana,Hyderabad,736,154,21,911
2025-05,Uttar Pradesh,Agra,1550,967,60,2577
2025-05,Uttar Pradesh,Aligarh,1564,1159,103,2826
2025-05,Uttar Pradesh,Bahraich,1485,1891,193,3569
2025-05,Uttar Pradesh,Banda,730,804,70,1604
2025-05,Uttar Pradesh,Bareilly,1306,574,49,1929
2025-05,Uttar Pradesh,Bijnor,1351,432,39,1822
2025-05,Uttar Pradesh,Budaun,222,228,11,461
2025-05,Uttar Pradesh,Chandauli,214,191,14,419
2025-05,Uttar Pradesh,Deoria,384,503,20,907
2025-05,Uttar Pradesh,Etah,1092,457,48,1597
2025-05,Uttar Pradesh,Fatehpur,274,224,11,509
2025-05,Uttar Pradesh,Gautam Buddha Nagar,867,915,52,1834
2025-05,Uttar Pradesh,Ghaziabad,882,747,37,1666
2025-05,Uttar Pradesh,Gorakhpur,129,352,41,522
2025-05,Uttar Pradesh,Hapur,681,450,11,1142
2025-05,Uttar Pradesh,Hathras,478,319,11,808
2025-05,Uttar Pradesh,Kanpur Nagar,835,854,57,1746
2025-05,Uttar Pradesh,Kheri,832,687,33,1552
2025-05,Uttar Pradesh,Kushinagar,170,229,10,409
2025-05,Uttar Pradesh,Lalitpur,138,71,10,219
2025-05,Uttar Pradesh,Lucknow,608,560,48,1216
2025-05,Uttar Pradesh,Maharajganj,500,791,40,1331
2025-05,Uttar Pradesh,Meerut,1663,1146,38,2847
2025-05,Uttar Pradesh,Moradabad,1673,793,79,2545
2025-05,Uttar Pradesh,Pilibhit,1367,640,21,2028
2025-05,Uttar Pradesh,Prayagraj,23,45,19,87
2025-05,Uttar Pradesh,Rampur,1304,700,27,2031
2025-05,Uttar Pradesh,Shahjahanpur,1274,987,51,2312
2025-05,Uttar Pradesh,Shrawasti,279,445,28,752
2025-05,Uttar Pradesh,Siddharthnagar,603,1073,47,1723
